"CODCOM";"Mall";"NOM_TIENDA";"FLAG_RC"
"888235";"CCPN";"DON BUFFET";1
"969622";"MDS";"DON BUFFET";1
"888334";"CCPN";"PANISTERIA";0
"969793";"MDS";"PANISTERIA";0
"888234";"CCPN";"ENTRE PAGINAS ADULTOS";0
"888484";"CCPN";"ENTRE PAGINAS NIÑOS";0
"969628";"MDS";"ENTRE PAGINAS P3";0
"969783";"MDS";"ENTRE PAGINAS PB";0
"434401";"GTT";"ENTRE PAGINAS";0
"434400";"GTT";"MEDITERRANEO MODULO PAPAS";0
"888043";"CCPN";"MEDITERRANEO RESTAURANTE";0
"969693";"MDS";"MEDITERRANEO RESTAURANTE";0
"969762";"MDS";"MEDITERRANEO PATIO COMIDAS";0
"888434";"CCPN";"MEDITERRANEO MODULO M66";0
"888435";"CCPN";"MEDITERRANEO MODULO M232";0
"969763";"MDS";"MEDITERRANEO MODULO PB MS0104";0
"969794";"MDS";"MEDITERRANEO MODULO P2";0
